Token	TotalCount	NumLangs	Languages
nv	475175	1	zh
kong	473950	1	zh
man	469902	1	zh
zong	464183	1	zh
pai	460063	1	zh
jun	453009	1	zh
che	452345	1	zh
qin	449154	1	zh
yun	440372	1	zh
ri	433383	1	zh
kou	430418	1	zh
xuan	429232	1	zh
mi	423894	1	zh
huang	421831	1	zh
guang	418583	1	zh
sha	417146	1	zh
lun	416389	1	zh
zhuang	416361	1	zh
chao	404119	1	zh
chong	398951	1	zh
han	392841	1	zh
tan	390787	1	zh
pian	389852	1	zh
lin	377979	1	zh
chen	373688	1	zh
tao	368541	1	zh
kao	358610	1	zh
song	358401	1	zh
hy	350810	1	ja
bang	343057	1	zh
diao	342863	1	zh
la	341894	1	zh
uəɜ	341575	1	vi
chuang	341084	1	zh
suan	337800	1	zh
kuang	335568	1	zh
`	333647	1	lv
tui	333406	1	zh
əʊ	332659	16	bg,da,de,el,fr,it,ko,lt,mt,nl,ro,ru,sk,sl,sv,vi
peng	332136	1	zh
min	330112	1	zh
cun	328232	1	zh
xiu	324391	1	zh
xun	323234	1	zh
zan	318030	1	zh
ɑɑ	317569	1	da
mao	317378	1	zh
po	313228	1	zh
hong	307215	1	zh
hang	298608	1	zh
lan	296426	1	zh
se	295421	1	zh
tang	288117	1	zh
pi	280641	1	zh
ce	280135	1	zh
aɪɚ	270315	1	en
pei	270147	1	zh
pu	269803	1	zh
ku	267643	1	zh
ceng	265963	1	zh
can	263660	1	zh
meng	261350	1	zh
xiong	259874	1	zh
gy	252560	1	ja
pao	252269	1	zh
pan	251921	1	zh
aɪə	249056	10	bg,da,de,el,en,fr,it,ru,sv,vi
pa	248677	1	zh
qiao	248510	1	zh
cuo	242198	1	zh
ɛɜ	238192	1	vi
əɪɜ	236776	1	vi
hun	236122	1	zh
zhun	234347	1	zh
cao	231402	1	zh
long	227386	1	zh
lie	225676	1	zh
tuo	221466	1	zh
piao	216737	1	zh
nao	207619	1	zh
zeng	202621	1	zh
hei	199793	1	zh
lang	196250	1	zh
kuo	189835	1	zh
mou	185900	1	zh
huai	185721	1	zh
nin	185533	1	zh
chou	182743	1	zh
yʊ	180241	2	nl,ro
mang	172640	1	zh
ha	170702	1	zh
miao	169579	1	zh
sun	168496	1	zh
chun	167862	1	zh
nong	167761	1	zh
tuan	167123	1	zh
zhai	166738	1	zh
nai	165290	1	zh
ken	164814	1	zh
lou	161661	1	zh
dun	159988	1	zh
shuang	159380	1	zh
kuan	158211	1	zh
kang	156908	1	zh
tie	151413	1	zh
guai	150984	1	zh
re	150274	1	zh
ny	149091	1	ja
ka	148810	1	zh
qun	148790	1	zh
niu	147930	1	zh
ruo	145220	1	zh
nu	143140	1	zh
ɛʊ	142946	1	pt
shun	142050	1	zh
øi	141010	2	et,fi
pang	140239	1	zh
wa	139397	1	zh
die	138458	1	zh
zhui	138128	1	zh
sai	138122	1	zh
heng	135130	1	zh
cang	130125	1	zh
zha	128729	1	zh
niang	128348	1	zh
zhuo	127883	1	zh
kui	123597	1	zh
ao	117417	1	zh
rou	113398	1	zh
fou	113057	1	zh
by	112277	1	ja
za	111318	1	zh
leng	110648	1	zh
pf	110413	1	de
gua	110224	1	zh
kun	108835	1	zh
lve	106797	1	zh
shuai	102989	1	zh
ey	97700	1	fi
luan	95472	1	zh
zhua	94226	1	zh
reng	93851	1	zh
cui	91861	1	zh
eo	91690	1	ro
ning	91094	1	zh
teng	87019	1	zh
øy	83857	1	fi
py	83171	1	ja
lia	82596	1	zh
sa	78754	1	zh
nuo	75773	1	zh
juan	72995	1	zh
en	69352	1	zh
rui	68761	1	zh
rao	68192	1	zh
ʐ	67002	2	lv,vi
zun	66700	1	zh
P	65856	1	zh
cu	65180	1	zh
run	64717	1	zh
chui	62586	1	zh
qiong	61316	1	zh
bin	60555	1	zh
A	59990	1	zh
aa	59096	1	da
sou	57627	1	zh
sang	57419	1	zh
:	57258	9	de,en,fr,it,ko,pl,ru,vi,zh
C	56937	1	zh
kua	56680	1	zh
ruan	56255	1	zh
chai	55440	1	zh
mie	54752	1	zh
sao	54239	1	zh
zang	53671	1	zh
I	51273	1	zh
shua	50418	1	zh
qia	49022	1	zh
T	47437	1	zh
niao	47034	1	zh
beng	46199	1	zh
sen	46172	1	zh
D	46075	1	zh
yɪ	45631	1	ro
G	45229	1	zh
gun	45087	1	zh
O	44713	1	zh
S	42847	1	zh
nie	41260	1	zh
diu	38793	1	zh
eə	38317	10	bg,da,de,el,fr,it,nl,ru,sv,vi
B	36946	1	zh
iəɜ	35842	1	vi
E	35397	1	zh
ʊə	34684	7	bg,de,el,fr,ru,sv,vi
fo	34007	1	zh
χ	33966	2	id,sk
M	33776	1	zh
pen	31532	1	zh
zuan	30605	1	zh
my	30140	1	ja
nuan	29490	1	zh
ga	29475	1	zh
keng	27109	1	zh
R	26619	1	zh
N	25073	1	zh
tun	23962	1	zh
ca	23879	1	zh
F	23217	1	zh
—	22261	6	de,en,fr,ru,vi,zh
seng	21521	1	zh
L	20878	1	zh
zei	20653	1	zh
K	20283	1	zh
V	19396	1	zh
H	19286	1	zh
ang	16986	1	zh
weng	16867	1	zh
7	16683	2	vi,zh
cou	16443	1	zh
ɐi	15211	1	ko
shai	15008	1	zh
U	14673	1	zh
nang	12389	1	zh
W	12362	1	zh
;	11354	5	de,en,ko,ru,vi
chuo	11270	1	zh
Y	10968	1	zh
Q	10560	1	zh
pie	10521	1	zh
ntɕ	10494	1	ko
cuan	10373	1	zh
chuai	9835	1	zh
ɐtɕ	9153	1	ko
iy	9136	1	fi
yo	8939	1	zh
dei	8813	1	zh
zhuai	8678	1	zh
ns	8338	1	ko
'	8315	1	zh
nve	7358	1	zh
nen	6845	1	zh
ɐɡ	6769	1	ko
J	6491	1	zh
ʌi	6461	1	ko
X	6444	1	zh
shuan	6260	1	zh
aʊɜ	5735	1	vi
np	5355	1	ko
nd	5170	1	ko
jiong	5164	1	zh
nh	4839	1	ko
ɐd	4769	1	ko
eɡ	4491	1	ko
ɐs	4417	1	ko
ɫtɕ	4343	1	ko
Z	4203	1	zh
dy	4129	1	ja
pou	4024	1	zh
ʌɡ	4003	1	ko
ɔɔ	3821	1	da
miu	3792	1	zh
ɐp	3569	1	ko
oɡ	3506	1	ko
ɐh	3495	1	ko
ntʃ	3319	1	ko
etɕ	3311	1	ko
ʌtɕ	3252	1	ko
os	3032	1	ko
ɫɡ	2820	1	ko
itɕ	2786	1	ko
ed	2732	1	ko
ɫs	2730	1	ko
ɫh	2594	1	ko
otɕ	2450	1	ko
iɾ	2444	1	ko
ɫp	2435	1	ko
